Interest Code;Job Zone;Code;Occupation
ECS;4;13-2052.00;Personal Financial Advisors
ECS;1-2;11-9131.00;Postmasters and Mail Superintendents
ECS;4;11-2032.00;Public Relations Managers
ECS;3;41-9022.00;Real Estate Sales Agents
ECS;1-2;41-3091.00;Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel
ECS;3;11-9179.02;Spa Managers
ECS;1-2;41-9041.00;Telemarketers
ECS;3;41-3041.00;Travel Agents
EIC;5;11-9041.00;Architectural and Engineering Managers
EIC;5;11-1011.03;Chief Sustainability Officers
ERC;3;35-1011.00;Chefs and Head Cooks
ERC;1-2;13-1074.00;Farm Labor Contractors
ERC;4;11-9013.00;Farmers, Ranchers, and Other Agricultural Managers
ERC;3;45-1011.00;First-Line Supervisors of Farming, Fishing, and Forestry Workers
ERC;3;33-1021.00;First-Line Supervisors of Firefighting and Prevention Workers
ESC;4;13-1011.00;Agents and Business Managers of Artists, Performers, and Athletes
ESC;4;13-1131.00;Fundraisers
ESC;4;11-1031.00;Legislators
ESC;4;11-9151.00;Social and Community Service Managers
ESC;4;11-3131.00;Training and Development Managers
IA;5;19-3091.00;Anthropologists and Archeologists
IA;5;19-3094.00;Political Scientists
IAC;4;15-1255.00;Web and Digital Interface Designers
IC;5;15-2041.01;Biostatisticians
IC;3;15-1211.00;Computer Systems Analysts
IC;5;15-1221.00;Computer and Information Research Scientists
IC;4;15-2051.00;Data Scientists
IC;4;15-1299.06;Digital Forensics Analysts
IC;5;13-2099.01;Financial Quantitative Analysts
IC;5;19-3093.00;Historians
IC;5;15-2021.00;Mathematicians
IC;5;15-2031.00;Operations Research Analysts
IC;4;19-4061.00;Social Science Research Assistants
IC;4;15-1252.00;Software Developers
IC;5;15-2041.00;Statisticians
IC;5;19-3022.00;Survey Researchers
ICE;4;11-9121.01;Clinical Research Coordinators
ICE;3;13-1041.06;Coroners
ICE;5;19-3011.00;Economists
ICE;4;33-3021.06;Intelligence Analysts
ICR;5;19-1029.01;Bioinformatics Scientists
ICR;4;15-2099.01;Bioinformatics Technicians
ICR;5;19-1029.04;Biologists
ICR;4;15-1241.00;Computer Network Architects
ICR;3;33-3021.00;Detectives and Criminal Investigators
ICR;5;19-1029.03;Geneticists
ICR;4;29-2036.00;Medical Dosimetrists
ICR;5;19-1029.02;Molecular and Cellular Biologists
ICR;4;19-5011.00;Occupational Health and Safety Specialists
ICR;4;15-1299.04;Penetration Testers
ICR;4;15-1253.00;Software Quality Assurance Analysts and Testers
ICR;4;19-3099.01;Transportation Planners
ICR;4;17-2112.02;Validation Engineers
ICS;5;15-1211.01;Health Informatics Specialists
IEC;5;19-2041.01;Climate Change Policy Analysts
IEC;5;19-3011.01;Environmental Economists
IEC;5;19-3032.00;Industrial-Organizational Psychologists
IEC;5;11-9121.00;Natural Sciences Managers
IEC;4;13-1199.05;Sustainability Specialists
IEC;5;19-3051.00;Urban and Regional Planners
IER;4;11-9041.01;Biofuels/Biodiesel Technology and Product Development Managers
IR;5;19-1011.00;Animal Scientists
IR;5;19-2011.00;Astronomers
IR;5;19-1021.00;Biochemists and Biophysicists
IR;4;19-3092.00;Geographers
IR;5;19-1042.00;Medical Scientists, Except Epidemiologists
IR;5;19-1013.00;Soil and Plant Scientists
IR;5;29-1131.00;Veterinarians
IR;4;19-1023.00;Zoologists and Wildlife Biologists
IRC;4;17-2011.00;Aerospace Engineers
IRC;4;19-2021.00;Atmospheric and Space Scientists
IRC;4;17-2031.00;Bioengineers and Biomedical Engineers
IRC;3;19-4031.00;Chemical Technicians
IRC;4;19-2031.00;Chemists
IRC;4;19-1031.00;Conservation Scientists
IRC;4;29-2011.01;Cytogenetic Technologists
IRC;5;29-2011.02;Cytotechnologists
IRC;4;17-2081.00;Environmental Engineers
IRC;5;19-2041.02;Environmental Restoration Planners
IRC;4;19-2041.00;Environmental Scientists and Specialists, Including Health
IRC;4;19-1012.00;Food Scientists and Technologists
IRC;3;19-4092.00;Forensic Science Technicians
IRC;5;19-2042.00;Geoscientists, Except Hydrologists and Geographers
IRC;4;17-2111.00;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors
IRC;4;29-2011.04;Histotechnologists
IRC;5;17-2112.01;Human Factors Engineers and Ergonomists
IRC;5;19-2043.00;Hydrologists
IRC;5;19-2041.03;Industrial Ecologists
IRC;4;19-2032.00;Materials Scientists
IRC;4;29-2011.00;Medical and Clinical Laboratory Technologists
IRC;4;19-1022.00;Microbiologists
IRC;5;17-2199.06;Microsystems Engineers
IRC;5;17-2199.09;Nanosystems Engineers
IRC;3;29-2099.01;Neurodiagnostic Technologists
IRC;4;17-2161.00;Nuclear Engineers
IRC;5;29-1023.00;Orthodontists
IRC;5;29-1222.00;Physicians, Pathologists
IRC;5;19-2012.00;Physicists
IRC;5;29-1224.00;Radiologists
IRC;4;19-2099.01;Remote Sensing Scientists and Technologists
IRC;4;11-9121.02;Water Resource Specialists
IRS;5;29-1212.00;Cardiologists
IRS;5;29-1021.00;Dentists, General
IRS;5;29-1213.00;Dermatologists
IRS;5;29-1022.00;Oral and Maxillofacial Surgeons
IRS;5;29-1242.00;Orthopedic Surgeons, Except Pediatric
IRS;5;29-1299.02;Orthoptists
IRS;5;29-1081.00;Podiatrists
IS;5;29-1229.01;Allergists and Immunologists
IS;5;29-1181.00;Audiologists
IS;5;25-1052.00;Chemistry Teachers, Postsecondary
IS;5;19-3039.03;Clinical Neuropsychologists
IS;5;25-1053.00;Environmental Science Teachers, Postsecondary
IS;5;19-1041.00;Epidemiologists
IS;5;29-1217.00;Neurologists
IS;5;19-3039.02;Neuropsychologists
IS;5;29-1229.05;Preventive Medicine Physicians
IS;5;29-1223.00;Psychiatrists
ISA;5;19-3041.00;Sociologists
ISC;5;29-1214.00;Emergency Medicine Physicians
ISC;5;29-9092.00;Genetic Counselors
ISC;5;29-1171.00;Nurse Practitioners
ISC;5;29-1051.00;Pharmacists
ISR;5;29-1211.00;Anesthesiologists
ISR;5;29-1216.00;General Internal Medicine Physicians
ISR;5;29-1299.01;Naturopathic Physicians
ISR;5;29-1218.00;Obstetricians and Gynecologists
ISR;5;29-1241.00;Ophthalmologists, Except Pediatric
ISR;5;29-1041.00;Optometrists
ISR;5;29-1243.00;Pediatric Surgeons
ISR;5;29-1229.04;Physical Medicine and Rehabilitation Physicians
ISR;5;29-1229.06;Sports Medicine Physicians
ISR;5;29-1229.03;Urologists
RA;3;27-4021.00;Photographers
RA;1-2;51-6052.00;Tailors, Dressmakers, and Custom Sewers
RAC;1-2;51-9194.00;Etchers and Engravers
RAC;3;51-6092.00;Fabric and Apparel Patternmakers
RAC;1-2;27-1023.00;Floral Designers
RAC;1-2;51-7021.00;Furniture Finishers
RAC;3;51-9071.00;Jewelers and Precious Stone and Metal Workers
RAC;1-2;51-9123.00;Painting, Coating, and Decorating Workers
RAC;3;51-7032.00;Patternmakers, Wood
RAC;3;27-4014.00;Sound Engineering Technicians
RAC;1-2;51-9195.03;Stone Cutters and Carvers, Manufacturing
RAC;1-2;51-6093.00;Upholsterers
RC;1-2;51-9191.00;Adhesive Bonding Machine Operators and Tenders
RC;1-2;45-2091.00;Agricultural Equipment Operators
RC;1-2;53-6032.00;Aircraft Service Attendants
RC;1-2;51-2011.00;Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
RC;3;27-4011.00;Audio and Video Technicians
RC;3;49-2097.00;Audiovisual Equipment Installers and Repairers
RC;1-2;49-3021.00;Automotive Body and Related Repairers
RC;1-2;49-3022.00;Automotive Glass Installers and Repairers
RC;1-2;53-6031.00;Automotive and Watercraft Service Attendants
RC;1-2;51-3011.00;Bakers
RC;1-2;49-3091.00;Bicycle Repairers
RC;1-2;51-8013.03;Biomass Plant Technicians
RC;1-2;47-2011.00;Boilermakers
RC;1-2;47-2021.00;Brickmasons and Blockmasons
RC;1-2;53-6011.00;Bridge and Lock Tenders
RC;1-2;51-3021.00;Butchers and Meat Cutters
RC;1-2;51-7011.00;Cabinetmakers and Bench Carpenters
RC;3;49-9061.00;Camera and Photographic Equipment Repairers
RC;1-2;47-2031.00;Carpenters
RC;1-2;47-2041.00;Carpet Installers
RC;1-2;47-2051.00;Cement Masons and Concrete Finishers
RC;1-2;53-7061.00;Cleaners of Vehicles and Equipment
RC;1-2;51-9192.00;Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders
RC;1-2;51-9124.00;Coating, Painting, and Spraying Machine Setters, Operators, and Tenders
RC;1-2;51-2021.00;Coil Winders, Tapers, and Finishers
RC;1-2;49-9091.00;Coin, Vending, and Amusement Machine Servicers and Repairers
RC;1-2;51-9161.00;Computer Numerically Controlled Tool Operators
RC;3;49-2011.00;Computer, Automated Teller, and Office Machine Repairers
RC;1-2;47-2061.00;Construction Laborers
RC;1-2;47-5041.00;Continuous Mining Machine Operators
RC;3;49-9012.00;Control and Valve Installers and Repairers, Except Mechanical Door
RC;1-2;53-7011.00;Conveyor Operators and Tenders
RC;1-2;35-2012.00;Cooks, Institution and Cafeteria
RC;1-2;51-9193.00;Cooling and Freezing Equipment Operators and Tenders
RC;3;53-7021.00;Crane and Tower Operators
RC;1-2;39-4012.00;Crematory Operators
RC;1-2;33-9091.00;Crossing Guards and Flaggers
RC;1-2;51-9021.00;Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders
RC;1-2;51-9031.00;Cutters and Trimmers, Hand
RC;1-2;51-9032.00;Cutting and Slicing Machine Setters, Operators, and Tenders
RC;1-2;51-4031.00;Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;47-5011.00;Derrick Operators, Oil and Gas
RC;1-2;35-9021.00;Dishwashers
RC;1-2;53-7031.00;Dredge Operators
RC;1-2;51-4032.00;Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;47-2081.00;Drywall and Ceiling Tile Installers
RC;3;49-2092.00;Electric Motor, Power Tool, and Related Repairers
RC;1-2;49-9051.00;Electrical Power-Line Installers and Repairers
RC;3;17-3012.00;Electrical and Electronics Drafters
RC;3;47-2111.00;Electricians
RC;3;47-4021.00;Elevator and Escalator Installers and Repairers
RC;1-2;51-2031.00;Engine and Other Machine Assemblers
RC;1-2;47-5022.00;Excavating and Loading Machine and Dragline Operators, Surface Mining
RC;1-2;51-4021.00;Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;51-6091.00;Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers
RC;1-2;51-9041.00;Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders
RC;1-2;45-4021.00;Fallers
RC;1-2;45-2092.00;Farmworkers and Laborers, Crop, Nursery, and Greenhouse
RC;1-2;47-4031.00;Fence Erectors
RC;1-2;51-2051.00;Fiberglass Laminators and Fabricators
RC;1-2;45-3031.00;Fishing and Hunting Workers
RC;1-2;47-2042.00;Floor Layers, Except Carpet, Wood, and Hard Tiles
RC;1-2;47-2043.00;Floor Sanders and Finishers
RC;1-2;51-3092.00;Food Batchmakers
RC;1-2;51-3093.00;Food Cooking Machine Operators and Tenders
RC;1-2;35-2021.00;Food Preparation Workers
RC;1-2;51-3091.00;Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders
RC;3;33-2022.00;Forest Fire Inspectors and Prevention Specialists
RC;1-2;45-4011.00;Forest and Conservation Workers
RC;1-2;51-4022.00;Forging Machine Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;51-4071.00;Foundry Mold and Coremakers
RC;1-2;51-9051.00;Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders
RC;1-2;53-7071.00;Gas Compressor and Gas Pumping Station Operators
RC;1-2;51-8092.00;Gas Plant Operators
RC;3;51-9071.06;Gem and Diamond Workers
RC;1-2;51-9195.04;Glass Blowers, Molders, Benders, and Finishers
RC;1-2;47-2121.00;Glaziers
RC;1-2;45-2041.00;Graders and Sorters, Agricultural Products
RC;1-2;51-9022.00;Grinding and Polishing Workers, Hand
RC;1-2;51-4033.00;Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic
RC;3;47-4041.00;Hazardous Materials Removal Workers
RC;1-2;51-4191.00;Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic
RC;3;49-9021.00;Heating, Air Conditioning, and Refrigeration Mechanics and Installers
RC;1-2;53-3032.00;Heavy and Tractor-Trailer Truck Drivers
RC;1-2;47-3011.00;Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters
RC;1-2;47-3012.00;Helpers--Carpenters
RC;1-2;47-3013.00;Helpers--Electricians
RC;1-2;47-5081.00;Helpers--Extraction Workers
RC;1-2;49-9098.00;Helpers--Installation, Maintenance, and Repair Workers
RC;1-2;47-3014.00;Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons
RC;1-2;47-3015.00;Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters
RC;1-2;51-9198.00;Helpers--Production Workers
RC;1-2;47-3016.00;Helpers--Roofers
RC;1-2;47-4051.00;Highway Maintenance Workers
RC;1-2;53-7041.00;Hoist and Winch Operators
RC;1-2;49-9031.00;Home Appliance Repairers
RC;1-2;53-7051.00;Industrial Truck and Tractor Operators
RC;1-2;47-2131.00;Insulation Workers, Floor, Ceiling, and Wall
RC;1-2;47-2132.00;Insulation Workers, Mechanical
RC;3;37-2011.00;Janitors and Cleaners, Except Maids and Housekeeping Cleaners
RC;1-2;53-7062.00;Laborers and Freight, Stock, and Material Movers, Hand
RC;1-2;37-3011.00;Landscaping and Groundskeeping Workers
RC;1-2;51-4034.00;Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;51-6011.00;Laundry and Dry-Cleaning Workers
RC;1-2;51-4192.00;Layout Workers, Metal and Plastic
RC;1-2;53-3033.00;Light Truck Drivers
RC;3;27-4015.00;Lighting Technicians
RC;1-2;47-5044.00;Loading and Moving Machine Operators, Underground Mining
RC;1-2;49-9094.00;Locksmiths and Safe Repairers
RC;1-2;45-4022.00;Logging Equipment Operators
RC;1-2;53-7063.00;Machine Feeders and Offbearers
RC;1-2;37-2012.00;Maids and Housekeeping Cleaners
RC;3;49-9043.00;Maintenance Workers, Machinery
RC;3;49-9071.00;Maintenance and Repair Workers, General
RC;1-2;39-5092.00;Manicurists and Pedicurists
RC;1-2;49-9095.00;Manufactured Building and Mobile Home Installers
RC;1-2;51-3022.00;Meat, Poultry, and Fish Cutters and Trimmers
RC;1-2;49-9011.00;Mechanical Door Repairers
RC;1-2;51-4051.00;Metal-Refining Furnace Operators and Tenders
RC;1-2;51-4035.00;Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;49-9044.00;Millwrights
RC;1-2;51-9023.00;Mixing and Blending Machine Setters, Operators, and Tenders
RC;3;51-4061.00;Model Makers, Metal and Plastic
RC;1-2;51-9195.00;Molders, Shapers, and Casters, Except Metal and Plastic
RC;1-2;51-4072.00;Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;39-3021.00;Motion Picture Projectionists
RC;3;49-3051.00;Motorboat Mechanics and Service Technicians
RC;1-2;51-4081.00;Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic
RC;4;25-4013.00;Museum Technicians and Conservators
RC;3;51-8011.00;Nuclear Power Reactor Operators
RC;1-2;51-9083.00;Ophthalmic Laboratory Technicians
RC;1-2;49-3053.00;Outdoor Power Equipment and Other Small Engine Mechanics
RC;1-2;51-9111.00;Packaging and Filling Machine Operators and Tenders
RC;1-2;53-7064.00;Packers and Packagers, Hand
RC;1-2;47-2141.00;Painters, Construction and Maintenance
RC;1-2;51-9196.00;Paper Goods Machine Setters, Operators, and Tenders
RC;1-2;53-6021.00;Parking Attendants
RC;1-2;33-3041.00;Parking Enforcement Workers
RC;1-2;47-2071.00;Paving, Surfacing, and Tamping Equipment Operators
RC;1-2;37-2021.00;Pest Control Workers
RC;1-2;37-3012.00;Pesticide Handlers, Sprayers, and Applicators, Vegetation
RC;1-2;51-8093.00;Petroleum Pump System Operators, Refinery Operators, and Gaugers
RC;1-2;51-9151.00;Photographic Process Workers and Processing Machine Operators
RC;1-2;47-2072.00;Pile Driver Operators
RC;1-2;47-2151.00;Pipelayers
RC;1-2;47-2161.00;Plasterers and Stucco Masons
RC;1-2;51-4193.00;Plating Machine Setters, Operators, and Tenders, Metal and Plastic
RC;3;47-2152.00;Plumbers, Pipefitters, and Steamfitters
RC;3;51-9195.05;Potters, Manufacturing
RC;1-2;51-4052.00;Pourers and Casters, Metal
RC;3;51-8012.00;Power Distributors and Dispatchers
RC;1-2;51-8013.00;Power Plant Operators
RC;1-2;51-6021.00;Pressers, Textile, Garment, and Related Materials
RC;1-2;53-7072.00;Pump Operators, Except Wellhead Pumpers
RC;1-2;49-3043.00;Rail Car Repairers
RC;1-2;53-4013.00;Rail Yard Engineers, Dinkey Operators, and Hostlers
RC;1-2;47-4061.00;Rail-Track Laying and Maintenance Equipment Operators
RC;1-2;53-4022.00;Railroad Brake, Signal, and Switch Operators and Locomotive Firers
RC;1-2;49-3092.00;Recreational Vehicle Service Technicians
RC;1-2;53-7062.04;Recycling and Reclamation Workers
RC;1-2;49-9045.00;Refractory Materials Repairers, Except Brickmasons
RC;1-2;53-7081.00;Refuse and Recyclable Material Collectors
RC;1-2;47-2171.00;Reinforcing Iron and Rebar Workers
RC;1-2;49-9096.00;Riggers
RC;1-2;47-5051.00;Rock Splitters, Quarry
RC;1-2;51-4023.00;Rolling Machine Setters, Operators, and Tenders, Metal and Plastic
RC;1-2;47-5043.00;Roof Bolters, Mining
RC;1-2;47-2181.00;Roofers
RC;1-2;47-5012.00;Rotary Drill Operators, Oil and Gas
RC;1-2;47-5071.00;Roustabouts, Oil and Gas
RC;1-2;53-5011.00;Sailors and Marine Oilers
RC;1-2;51-7041.00;Sawing Machine Setters, Operators, and Tenders, Wood
RC;1-2;33-9032.00;Security Guards
RC;1-2;47-4091.00;Segmental Pavers
RC;1-2;51-9141.00;Semiconductor Processing Technicians
RC;1-2;51-9012.00;Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders
RC;1-2;47-4071.00;Septic Tank Servicers and Sewer Pipe Cleaners
RC;1-2;47-5013.00;Service Unit Operators, Oil and Gas
RC;1-2;51-6051.00;Sewers, Hand
RC;1-2;51-6031.00;Sewing Machine Operators
RC;1-2;47-2211.00;Sheet Metal Workers
RC;1-2;51-6042.00;Shoe Machine Operators and Tenders
RC;3;49-9097.00;Signal and Track Switch Repairers
RC;1-2;51-3023.00;Slaughterers and Meat Packers
RC;1-2;47-2231.00;Solar Photovoltaic Installers
RC;3;47-2152.04;Solar Thermal Installers and Technicians
RC;1-2;47-2221.00;Structural Iron and Steel Workers
RC;1-2;51-2041.00;Structural Metal Fabricators and Fitters
RC;1-2;53-4041.00;Subway and Streetcar Operators
RC;1-2;53-7121.00;Tank Car, Truck, and Ship Loaders
RC;1-2;47-2082.00;Tapers
RC;1-2;53-3054.00;Taxi Drivers
RC;3;49-2022.00;Telecommunications Equipment Installers and Repairers, Except Line Installers
RC;1-2;49-9052.00;Telecommunications Line Installers and Repairers
RC;1-2;47-2053.00;Terrazzo Workers and Finishers
RC;1-2;51-6061.00;Textile Bleaching and Dyeing Machine Operators and Tenders
RC;1-2;51-6062.00;Textile Cutting Machine Setters, Operators, and Tenders
RC;1-2;51-6063.00;Textile Knitting and Weaving Machine Setters, Operators, and Tenders
RC;1-2;51-6064.00;Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders
RC;1-2;47-2044.00;Tile and Stone Setters
RC;1-2;51-2061.00;Timing Device Assemblers and Adjusters
RC;1-2;51-9197.00;Tire Builders
RC;1-2;49-3093.00;Tire Repairers and Changers
RC;1-2;51-4194.00;Tool Grinders, Filers, and Sharpeners
RC;3;51-4111.00;Tool and Die Makers
RC;3;33-3052.00;Transit and Railroad Police
RC;1-2;37-3013.00;Tree Trimmers and Pruners
RC;3;49-9064.00;Watch and Clock Repairers
RC;1-2;51-8031.00;Water and Wastewater Treatment Plant and System Operators
RC;1-2;47-4099.03;Weatherization Installers and Technicians
RC;1-2;51-4121.00;Welders, Cutters, Solderers, and Brazers
RC;1-2;51-4122.00;Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders
RC;1-2;53-7073.00;Wellhead Pumpers
RC;1-2;51-7042.00;Woodworking Machine Setters, Operators, and Tenders, Except Sawing
RCA;5;17-1011.00;Architects, Except Landscape and Naval
RCA;3;17-3011.00;Architectural and Civil Drafters
RCA;3;51-7031.00;Model Makers, Wood
RCA;3;49-9063.00;Musical Instrument Repairers and Tuners
RCA;1-2;47-2142.00;Paperhangers
RCA;3;51-4062.00;Patternmakers, Metal and Plastic
RCA;1-2;51-6041.00;Shoe and Leather Workers and Repairers
RCE;4;53-2011.00;Airline Pilots, Copilots, and Flight Engineers
RCE;3;33-3011.00;Bailiffs
RCE;1-2;35-3011.00;Bartenders
RCE;3;53-5021.00;Captains, Mates, and Pilots of Water Vessels
RCE;1-2;35-2011.00;Cooks, Fast Food
RCE;1-2;35-2014.00;Cooks, Restaurant
RCE;1-2;35-2015.00;Cooks, Short Order
RCE;1-2;53-3031.00;Driver/Sales Workers
RCE;3;11-3051.02;Geothermal Production Managers
RCE;3;11-3051.06;Hydroelectric Production Managers
RCE;1-2;53-5022.00;Motorboat Operators
RCE;1-2;41-2022.00;Parts Salespersons
RCE;3;33-3051.00;Police and Sheriff's Patrol Officers
RCE;1-2;53-4031.00;Railroad Conductors and Yardmasters
RCE;3;53-5031.00;Ship Engineers
RCE;1-2;51-2092.00;Team Assemblers
RCI;3;17-3021.00;Aerospace Engineering and Operations Technologists and Technicians
RCI;1-2;45-2011.00;Agricultural Inspectors
RCI;3;49-3011.00;Aircraft Mechanics and Service Technicians
RCI;1-2;45-2021.00;Animal Breeders
RCI;1-2;33-9011.00;Animal Control Workers
RCI;3;49-3023.00;Automotive Service Technicians and Mechanics
RCI;3;49-2091.00;Avionics Technicians
RCI;1-2;51-8099.01;Biofuels Processing Technicians
RCI;3;49-3031.00;Bus and Truck Mechanics and Diesel Engine Specialists
RCI;3;17-3028.00;Calibration Technologists and Technicians
RCI;1-2;51-9011.00;Chemical Equipment Operators and Tenders
RCI;1-2;51-8091.00;Chemical Plant and System Operators
RCI;3;47-4011.00;Construction and Building Inspectors
RCI;3;29-2032.00;Diagnostic Medical Sonographers
RCI;1-2;47-5023.00;Earth Drillers, Except Oil and Gas
RCI;1-2;51-2022.00;Electrical and Electronic Equipment Assemblers
RCI;3;49-2093.00;Electrical and Electronics Installers and Repairers, Transportation Equipment
RCI;3;49-2094.00;Electrical and Electronics Repairers, Commercial and Industrial Equipment
RCI;3;49-2095.00;Electrical and Electronics Repairers, Powerhouse, Substation, and Relay
RCI;3;17-3024.00;Electro-Mechanical and Mechatronics Technologists and Technicians
RCI;1-2;51-2023.00;Electromechanical Equipment Assemblers
RCI;3;49-2096.00;Electronic Equipment Installers and Repairers, Motor Vehicles
RCI;1-2;31-9099.02;Endoscopy Technicians
RCI;1-2;47-5032.00;Explosives Workers, Ordnance Handling Experts, and Blasters
RCI;3;49-3041.00;Farm Equipment Mechanics and Service Technicians
RCI;3;33-2021.00;Fire Inspectors and Investigators
RCI;4;33-3031.00;Fish and Game Wardens
RCI;3;19-4013.00;Food Science Technicians
RCI;3;19-4071.00;Forest and Conservation Technicians
RCI;4;19-4043.00;Geological Technicians, Except Hydrologic Technicians
RCI;1-2;49-9099.01;Geothermal Technicians
RCI;3;51-8013.04;Hydroelectric Plant Technicians
RCI;3;19-4044.00;Hydrologic Technicians
RCI;3;17-3026.00;Industrial Engineering Technologists and Technicians
RCI;3;49-9041.00;Industrial Machinery Mechanics
RCI;1-2;51-9061.00;Inspectors, Testers, Sorters, Samplers, and Weighers
RCI;1-2;53-4011.00;Locomotive Engineers
RCI;3;51-4041.00;Machinists
RCI;3;29-2035.00;Magnetic Resonance Imaging Technologists
RCI;3;17-3013.00;Mechanical Drafters
RCI;1-2;31-9093.00;Medical Equipment Preparers
RCI;3;49-9062.00;Medical Equipment Repairers
RCI;3;49-3042.00;Mobile Heavy Equipment Mechanics, Except Engines
RCI;3;49-3052.00;Motorcycle Mechanics
RCI;3;19-4051.02;Nuclear Monitoring Technicians
